video_id,target_speed,actual_speed,speed_std,num_frames,video_path
ball_000,0.0,0.3466999972241487,0.1878837264777051,16,/home/avillegas/projects/VideoPrediction/speed_experiments/videos/training/ball_000.mp4
ball_001,0.5,0.352599996403317,0.1834787164605512,16,/home/avillegas/projects/VideoPrediction/speed_experiments/videos/training/ball_001.mp4
ball_002,1.0,0.367500726079094,0.17436781079416955,16,/home/avillegas/projects/VideoPrediction/speed_experiments/videos/training/ball_002.mp4
ball_003,1.5,0.38865959384281634,0.163869268017859,16,/home/avillegas/projects/VideoPrediction/speed_experiments/videos/training/ball_003.mp4
ball_004,2.0,0.4145545460497302,0.15323149571680889,16,/home/avillegas/projects/VideoPrediction/speed_experiments/videos/training/ball_004.mp4
ball_005,2.5,0.44417162318937836,0.1429991135676368,16,/home/avillegas/projects/VideoPrediction/speed_experiments/videos/training/ball_005.mp4
ball_006,3.0,0.4767749863303128,0.1334119091608145,16,/home/avillegas/projects/VideoPrediction/speed_experiments/videos/training/ball_006.mp4
ball_007,3.5,0.5118070305101646,0.12455894215997121,16,/home/avillegas/projects/VideoPrediction/speed_experiments/videos/training/ball_007.mp4
ball_008,4.0,0.5488343535353061,0.11645103203001536,16,/home/avillegas/projects/VideoPrediction/speed_experiments/videos/training/ball_008.mp4
ball_009,4.5,0.5875144805480225,0.10905856706291854,16,/home/avillegas/projects/VideoPrediction/speed_experiments/videos/training/ball_009.mp4
ball_010,5.0,0.6275735852435631,0.10233231066143758,16,/home/avillegas/projects/VideoPrediction/speed_experiments/videos/training/ball_010.mp4
ball_011,5.5,0.6687907271986726,0.09621509689033997,16,/home/avillegas/projects/VideoPrediction/speed_experiments/videos/training/ball_011.mp4
ball_012,6.0,0.7109862821524453,0.09064837582821891,16,/home/avillegas/projects/VideoPrediction/speed_experiments/videos/training/ball_012.mp4
ball_013,6.5,0.754013237622208,0.0855757622815161,16,/home/avillegas/projects/VideoPrediction/speed_experiments/videos/training/ball_013.mp4
ball_014,7.0,0.7977505323030718,0.0809448221038272,16,/home/avillegas/projects/VideoPrediction/speed_experiments/videos/training/ball_014.mp4
ball_015,7.5,0.8420978974757524,0.07670782638850926,16,/home/avillegas/projects/VideoPrediction/speed_experiments/videos/training/ball_015.mp4
ball_016,8.0,0.886971825347693,0.07282191285323765,16,/home/avillegas/projects/VideoPrediction/speed_experiments/videos/training/ball_016.mp4
ball_017,8.5,0.9323023952608411,0.0692489200815962,16,/home/avillegas/projects/VideoPrediction/speed_experiments/videos/training/ball_017.mp4
ball_018,9.0,0.9780307598197759,0.0659550546057947,16,/home/avillegas/projects/VideoPrediction/speed_experiments/videos/training/ball_018.mp4
ball_019,9.5,1.0241071427239412,0.06291048589051935,16,/home/avillegas/projects/VideoPrediction/speed_experiments/videos/training/ball_019.mp4
ball_020,10.0,1.0704892359328628,0.060088924311279955,16,/home/avillegas/projects/VideoPrediction/speed_experiments/videos/training/ball_020.mp4
ball_021,10.5,1.1171409101924699,0.057467212715523415,16,/home/avillegas/projects/VideoPrediction/speed_experiments/videos/training/ball_021.mp4
ball_022,11.0,1.1640311726886052,0.055024947276983954,16,/home/avillegas/projects/VideoPrediction/speed_experiments/videos/training/ball_022.mp4
ball_023,11.5,1.2111333205097452,0.052744134472158914,16,/home/avillegas/projects/VideoPrediction/speed_experiments/videos/training/ball_023.mp4
ball_024,12.0,1.2584242499614149,0.05060888584733982,16,/home/avillegas/projects/VideoPrediction/speed_experiments/videos/training/ball_024.mp4
ball_025,12.5,1.3058838904798704,0.04860514937632852,16,/home/avillegas/projects/VideoPrediction/speed_experiments/videos/training/ball_025.mp4
