video_path,num_frames,original_label,class_id,speed_label
k400/czhL0iDbNT8_000021_000031.mp4,240,walking the dog,46,1
k400/-5wLopwbGX0_000070_000080.mp4,300,tossing salad,132,1
k400/8UxlDNur-Z0_000001_000011.mp4,300,juggling balls,262,0
k400/Urmbp1ulIXI_000023_000033.mp4,300,playing bass guitar,319,0
k400/p2UMwzWsY0U_000002_000012.mp4,300,reading book,248,0
k400/fTPDXmcygjw_000004_000014.mp4,300,petting animal (not cat),11,1
k400/MCr_v4wCkh0_000002_000012.mp4,300,tossing salad,132,1
k400/S6iAYBBMnwk_000002_000012.mp4,300,whistling,267,1
k400/2agWm6N2260_000000_000010.mp4,300,playing ukulele,37,0
k400/a7Mc-0lwAuE_000064_000074.mp4,300,waxing legs,129,0
k400/lG1SVQCAW4w_000066_000076.mp4,300,hurling (sport),22,1
k400/DQUNZmbQI_g_000345_000355.mp4,300,disc golfing,29,1
k400/Dcz0r8q-sx0_000004_000014.mp4,300,baby waking up,249,0
k400/8CdUbOHDtes_000415_000425.mp4,300,hugging baby,222,1
k400/ObNn_SDCdN4_000183_000193.mp4,300,hugging baby,222,1
k400/wLdCy9BWejA_000000_000010.mp4,300,cutting nails,219,0
k400/jZ-RKDUgTZc_000529_000539.mp4,300,petting animal (not cat),11,1
k400/kE3LVziVavY_000016_000026.mp4,300,sharpening pencil,371,0
k400/QTuSXrQbLzA_000059_000069.mp4,250,hurling (sport),22,1
k400/noCpVmgD0PY_000122_000132.mp4,300,sharpening pencil,371,0
k400/fMeaggq0_rA_000032_000042.mp4,300,cutting nails,219,0
k400/MT2KvOC_7ww_000000_000010.mp4,300,zumba,331,0
k400/Ykiro3IaZsI_000025_000035.mp4,300,cutting nails,219,0
k400/sBwcUtMx2VM_000017_000027.mp4,97,juggling balls,262,0
k400/CBsQM6oSaPQ_000198_000208.mp4,250,golf driving,311,0
k400/TRy89BWatRQ_000003_000013.mp4,300,hurling (sport),22,1
k400/pYJYqh-F5qw_000007_000017.mp4,300,dunking basketball,28,1
k400/G_J5cATQRls_000165_000175.mp4,300,playing bass guitar,319,0
k400/F6EBsLoTomM_000006_000016.mp4,226,parkour,299,1
k400/GemX0d_J_L4_000002_000012.mp4,300,parkour,299,1
k400/Oj1AyUagCKU_000010_000020.mp4,300,dunking basketball,28,1
k400/b1qE4GNZ9OA_000144_000154.mp4,300,disc golfing,29,1
k400/SkLZdjaKzbM_000075_000085.mp4,300,dunking basketball,28,1
k400/EVe27iNIHNQ_000010_000020.mp4,300,hugging baby,222,1
k400/k0LrpFqOjeI_000027_000037.mp4,300,playing bagpipes,290,0
k400/_kbDGFjgKYs_000087_000097.mp4,300,sharpening pencil,371,0
k400/02K4QYwUR6k_000112_000122.mp4,300,hugging baby,222,1
k400/CXELciMTioU_000191_000201.mp4,300,hugging baby,222,1
k400/WfpAqCRF_CM_000001_000011.mp4,300,waxing legs,129,0
k400/E7l9YJAJdU8_000161_000171.mp4,300,cutting nails,219,0
k400/KfP8Ki7BvpQ_000045_000055.mp4,250,hugging baby,222,1
k400/ZgiOm4uBZZQ_000018_000028.mp4,166,playing ukulele,37,0
k400/5RFlvWslIm8_000046_000056.mp4,300,reading book,248,0
k400/eTIExNIhSOk_000043_000053.mp4,300,waxing back,295,1
k400/vBgzbFRZqFE_000124_000134.mp4,300,golf driving,311,0
k400/kUJI_OVlWxE_000161_000171.mp4,300,hugging baby,222,1
k400/5j1oz2hmq8Q_000002_000012.mp4,146,reading book,248,0
k400/wdEr6wHm11M_000059_000069.mp4,243,walking the dog,46,1
k400/-8IjJv90K-M_000032_000042.mp4,300,dunking basketball,28,1
k400/T_pLnAoAhuM_000006_000016.mp4,132,playing bass guitar,319,0
k400/3lTTjrrl3-w_000027_000037.mp4,300,golf driving,311,0
k400/Fky5jhnQrgI_000007_000017.mp4,300,wrapping present,300,1
k400/1z2BaaWe-Hc_000000_000010.mp4,300,whistling,267,1
k400/-ayNZ5bs7EQ_000011_000021.mp4,152,playing bass guitar,319,0
k400/uFadiriKM0I_000324_000334.mp4,300,hugging baby,222,1
k400/xXCYK5hF7TA_000138_000148.mp4,120,hugging baby,222,1
k400/4FJklyyQI4w_000027_000037.mp4,230,playing bass guitar,319,0
k400/Cc8VMMrVrxg_000005_000015.mp4,300,waxing legs,129,0
k400/-8jPV06bmhA_000046_000056.mp4,300,walking the dog,46,1
k400/L0gKt2njQZw_000008_000018.mp4,300,water skiing,123,0
k400/WnRTUcOFc2U_000160_000170.mp4,300,baby waking up,249,0
k400/glIq9KmXoYw_000004_000014.mp4,150,juggling balls,262,0
k400/3FlRepeaQP8_000003_000013.mp4,300,waxing back,295,1
k400/TJpmrZ7DrEc_000001_000011.mp4,300,throwing axe,155,1
k400/iZXtwb_6GMQ_000085_000095.mp4,170,dunking basketball,28,1
k400/LO0HKBkTsFA_000037_000047.mp4,250,playing ukulele,37,0
k400/v2lhU-CtJQc_000000_000010.mp4,300,playing ukulele,37,0
k400/nO4BFDXVqCg_000007_000017.mp4,300,golf driving,311,0
